date,close,open
"Oct 19, 2016",18202.62,18178.21
"Oct 18, 2016",18161.94,18145.06
"Oct 17, 2016",18086.4,18135.85
"Oct 14, 2016",18138.38,18177.35
"Oct 13, 2016",18098.94,18088.32
"Oct 12, 2016",18144.2,18132.63
"Oct 11, 2016",18128.66,18308.43
"Oct 10, 2016",18329.04,18282.95
"Oct 7, 2016",18240.49,18295.35
"Oct 6, 2016",18268.5,18280.42
"Oct 5, 2016",18281.03,18205.5
"Oct 4, 2016",18168.45,18267.68
"Oct 3, 2016",18253.85,18279.6
"Sep 30, 2016",18308.15,18181.8
"Sep 29, 2016",18143.45,18322.88
"Sep 28, 2016",18339.24,18240.22
"Sep 27, 2016",18228.3,18099.21
"Sep 26, 2016",18094.83,18217.76
"Sep 23, 2016",18261.45,18377.36
"Sep 22, 2016",18392.46,18343.76
"Sep 21, 2016",18293.7,18164.96
"Sep 20, 2016",18129.96,18175.36
"Sep 19, 2016",18120.17,18154.82
"Sep 16, 2016",18123.8,18217.21
"Sep 15, 2016",18212.48,18024.91
"Sep 14, 2016",18034.77,18073.39
"Sep 13, 2016",18066.75,18262.99
"Sep 12, 2016",18325.07,18028.95
"Sep 9, 2016",18085.45,18404.17
"Sep 8, 2016",18479.91,18486.69
"Sep 7, 2016",18526.14,18527.71
"Sep 6, 2016",18538.12,18493.4
"Sep 2, 2016",18491.96,18466.01
"Sep 1, 2016",18419.3,18396.57
"Aug 31, 2016",18400.88,18436.7
"Aug 30, 2016",18454.3,18491.28
"Aug 29, 2016",18502.99,18421.29
"Aug 26, 2016",18395.4,18467.92
"Aug 25, 2016",18448.41,18471.21
"Aug 24, 2016",18481.48,18537.5
"Aug 23, 2016",18547.3,18568.94
"Aug 22, 2016",18529.42,18535.86
"Aug 19, 2016",18552.57,18585.17
"Aug 18, 2016",18597.7,18566.54
"Aug 17, 2016",18573.94,18537.09
"Aug 16, 2016",18552.02,18614.48
"Aug 15, 2016",18636.05,18588.59
"Aug 12, 2016",18576.47,18595.65
"Aug 11, 2016",18613.52,18519.08
"Aug 10, 2016",18495.66,18541.48
"Aug 9, 2016",18533.05,18538.05
"Aug 8, 2016",18529.29,18540.65
"Aug 5, 2016",18543.53,18402.8
"Aug 4, 2016",18352.05,18351.43
"Aug 3, 2016",18355.0,18313.08
"Aug 2, 2016",18313.77,18401.15
"Aug 1, 2016",18404.51,18434.5
"Jul 29, 2016",18432.24,18442.52
"Jul 28, 2016",18456.35,18461.01
"Jul 27, 2016",18472.17,18473.27
"Jul 26, 2016",18473.75,18497.37
"Jul 25, 2016",18493.06,18554.49
"Jul 22, 2016",18570.85,18524.15
"Jul 21, 2016",18517.23,18589.96
"Jul 20, 2016",18595.03,18582.7
"Jul 19, 2016",18559.01,18503.12
"Jul 18, 2016",18533.05,18521.55
"Jul 15, 2016",18516.55,18508.88
"Jul 14, 2016",18506.41,18414.3
"Jul 13, 2016",18372.12,18356.78
"Jul 12, 2016",18347.67,18259.12
"Jul 11, 2016",18226.93,18161.53
"Jul 8, 2016",18146.74,17971.22
"Jul 7, 2016",17895.88,17924.24
"Jul 6, 2016",17918.62,17807.47
"Jul 5, 2016",17840.62,17904.45
"Jul 1, 2016",17949.37,17924.24
"Jun 30, 2016",17929.99,17712.76
"Jun 29, 2016",17694.68,17456.02
"Jun 28, 2016",17409.72,17190.51
"Jun 27, 2016",17140.24,17355.21
"Jun 24, 2016",17400.75,17946.63
"Jun 23, 2016",18011.07,17844.11
"Jun 22, 2016",17780.83,17832.67
"Jun 21, 2016",17829.73,17827.33
"Jun 20, 2016",17804.87,17736.87
"Jun 17, 2016",17675.16,17733.44
"Jun 16, 2016",17733.1,17602.23
"Jun 15, 2016",17640.17,17703.65
"Jun 14, 2016",17674.82,17710.77
"Jun 13, 2016",17732.48,17830.5
"Jun 10, 2016",17865.34,17938.82
"Jun 9, 2016",17985.19,17969.98
"Jun 8, 2016",18005.05,17931.91
"Jun 7, 2016",17938.28,17936.22
"Jun 6, 2016",17920.33,17825.69
"Jun 3, 2016",17807.06,17799.8
"Jun 2, 2016",17838.56,17789.05
"Jun 1, 2016",17789.67,17754.55
"May 31, 2016",17787.2,17891.5
"May 27, 2016",17873.22,17826.85
"May 26, 2016",17828.29,17859.52
"May 25, 2016",17851.51,17735.09
"May 24, 2016",17706.05,17525.19
"May 23, 2016",17492.93,17507.04
"May 20, 2016",17500.94,17437.32
"May 19, 2016",17435.4,17514.16
"May 18, 2016",17526.62,17501.28
"May 17, 2016",17529.98,17701.46
"May 16, 2016",17710.71,17531.76
"May 13, 2016",17535.32,17711.12
"May 12, 2016",17720.5,17722.01
"May 11, 2016",17711.12,17919.03
"May 10, 2016",17928.35,17726.66
"May 9, 2016",17705.91,17743.85
"May 6, 2016",17740.63,17650.3
"May 5, 2016",17660.71,17664.48
"May 4, 2016",17651.26,17735.02
"May 3, 2016",17750.91,17870.75
"May 2, 2016",17891.16,17783.78
"Apr 29, 2016",17773.64,17813.09
"Apr 28, 2016",17830.76,18023.88
"Apr 27, 2016",18041.55,17996.14
"Apr 26, 2016",17990.32,17987.38
"Apr 25, 2016",17977.24,17990.94
"Apr 22, 2016",18003.75,17985.05
"Apr 21, 2016",17982.52,18092.84
"Apr 20, 2016",18096.27,18059.49
"Apr 19, 2016",18053.6,18012.1
"Apr 18, 2016",18004.16,17890.2
"Apr 15, 2016",17897.46,17925.95
"Apr 14, 2016",17926.43,17912.25
"Apr 13, 2016",17908.28,17741.66
"Apr 12, 2016",17721.25,17571.34
"Apr 11, 2016",17556.41,17586.48
"Apr 8, 2016",17576.96,17555.39
"Apr 7, 2016",17541.96,17687.28
"Apr 6, 2016",17716.05,17605.45
"Apr 5, 2016",17603.32,17718.03
"Apr 4, 2016",17737.0,17799.39
"Apr 1, 2016",17792.75,17661.74
"Mar 31, 2016",17685.09,17716.05
"Mar 30, 2016",17716.66,17652.36
"Mar 29, 2016",17633.11,17512.58
"Mar 28, 2016",17535.39,17526.08
