date,date_format,open,close
"Oct 14, 2015",20151014,22398.82,22439.91
"Oct 13, 2015",20151013,22677.6,22600.46
"Oct 12, 2015",20151012,22614.33,22730.93
"Oct 9, 2015",20151009,22615.94,22458.8
"Oct 8, 2015",20151008,22588.69,22354.91
"Oct 7, 2015",20151007,21884.73,22515.76
"Oct 6, 2015",20151006,22169.1,21831.62
"Oct 5, 2015",20151005,21930.97,21854.5
"Oct 2, 2015",20151002,21172.94,21506.09
"Sep 30, 2015",20150930,20795.93,20846.3
"Sep 29, 2015",20150929,20579.22,20556.6
"Sep 25, 2015",20150925,21070.39,21186.32
"Sep 24, 2015",20150924,21304.9,21095.98
"Sep 23, 2015",20150923,21529.47,21302.91
"Sep 22, 2015",20150922,21794.34,21796.58
"Sep 21, 2015",20150921,21614.43,21756.93
"Sep 18, 2015",20150918,21807.25,21920.83
"Sep 17, 2015",20150917,22172.68,21854.63
"Sep 16, 2015",20150916,21731.34,21966.66
"Sep 15, 2015",20150915,21527.53,21455.23
"Sep 14, 2015",20150914,21678.88,21561.9
"Sep 11, 2015",20150911,21710.13,21504.37
"Sep 10, 2015",20150910,21667.86,21562.5
"Sep 9, 2015",20150909,21632.69,22131.31
"Sep 8, 2015",20150908,20636.83,21259.04
"Sep 7, 2015",20150907,20683.31,20583.52
"Sep 4, 2015",20150904,21158.93,20840.61
"Sep 2, 2015",20150902,21101.42,20934.94
"Sep 1, 2015",20150901,21692.78,21185.43
"Aug 31, 2015",20150831,21793.02,21670.58
"Aug 28, 2015",20150828,22424.4,21612.39
"Aug 27, 2015",20150827,21758.62,21838.54
"Aug 26, 2015",20150826,21434.25,21080.39
"Aug 25, 2015",20150825,21119.53,21404.96
"Aug 24, 2015",20150824,21605.97,21251.57
"Aug 21, 2015",20150821,22343.25,22409.62
"Aug 20, 2015",20150820,22973.87,22757.47
"Aug 19, 2015",20150819,23555.02,23167.85
"Aug 18, 2015",20150818,23956.86,23474.97
"Aug 17, 2015",20150817,23945.6,23814.65
"Aug 14, 2015",20150814,24055.02,23991.03
"Aug 13, 2015",20150813,23935.48,24018.8
"Aug 12, 2015",20150812,24269.11,23916.02
"Aug 11, 2015",20150811,24694.78,24498.21
"Aug 10, 2015",20150810,24433.66,24521.12
"Aug 7, 2015",20150807,24327.56,24552.47
"Aug 6, 2015",20150806,24527.74,24375.28
"Aug 5, 2015",20150805,24466.3,24514.16
"Aug 4, 2015",20150804,24364.41,24406.12
"Aug 3, 2015",20150803,24533.14,24411.42
"Jul 31, 2015",20150731,24650.93,24636.28
"Jul 30, 2015",20150730,24822.42,24497.98
"Jul 29, 2015",20150729,24630.44,24619.45
"Jul 28, 2015",20150728,24269.9,24503.94
"Jul 27, 2015",20150727,24906.78,24351.96
"Jul 24, 2015",20150724,25279.95,25128.51
"Jul 23, 2015",20150723,25308.55,25398.85
"Jul 22, 2015",20150722,25401.79,25282.62
"Jul 21, 2015",20150721,25428.88,25536.43
"Jul 20, 2015",20150720,25540.31,25404.81
"Jul 17, 2015",20150717,25246.64,25415.27
"Jul 16, 2015",20150716,24976.08,25162.78
"Jul 15, 2015",20150715,25219.45,25055.76
"Jul 14, 2015",20150714,25184.06,25120.91
"Jul 13, 2015",20150713,24709.58,25224.01
"Jul 10, 2015",20150710,24567.92,24901.28
"Jul 9, 2015",20150709,23435.5,24392.79
"Jul 8, 2015",20150708,24411.3,23516.56
"Jul 7, 2015",20150707,25391.76,24975.31
"Jul 6, 2015",20150706,26083.99,25236.28
"Jul 3, 2015",20150703,26349.84,26064.11
"Jul 2, 2015",20150702,26459.43,26282.32
"Jun 30, 2015",20150630,25944.03,26250.03
"Jun 29, 2015",20150629,26560.13,25966.98
"Jun 26, 2015",20150626,27016.09,26663.87
"Jun 25, 2015",20150625,27329.17,27145.75
"Jun 24, 2015",20150624,27397.37,27404.97
"Jun 23, 2015",20150623,27126.47,27333.46
"Jun 22, 2015",20150622,26854.32,27080.85
"Jun 19, 2015",20150619,26885.73,26760.53
"Jun 18, 2015",20150618,26786.53,26694.66
"Jun 17, 2015",20150617,26671.2,26753.79
"Jun 16, 2015",20150616,26807.67,26566.7
"Jun 15, 2015",20150615,27095.18,26861.81
"Jun 12, 2015",20150612,27082.6,27280.54
"Jun 11, 2015",20150611,26938.15,26907.85
"Jun 10, 2015",20150610,27052.79,26687.64
"Jun 9, 2015",20150609,27295.88,26989.52
"Jun 8, 2015",20150608,27147.24,27316.28
"Jun 5, 2015",20150605,27538.06,27260.16
"Jun 4, 2015",20150604,27645.36,27551.89
"Jun 3, 2015",20150603,27716.34,27657.47
"Jun 2, 2015",20150602,27473.45,27466.72
"Jun 1, 2015",20150601,27373.06,27597.16
"May 29, 2015",20150529,27398.28,27424.19
"May 28, 2015",20150528,28162.25,27454.31
"May 27, 2015",20150527,28214.66,28081.21
"May 26, 2015",20150526,28462.32,28249.86
"May 22, 2015",20150522,27723.67,27992.83
"May 21, 2015",20150521,27507.32,27523.72
"May 20, 2015",20150520,27751.44,27585.05
"May 19, 2015",20150519,27597.07,27693.54
"May 18, 2015",20150518,27792.44,27591.25
"May 15, 2015",20150515,27459.58,27822.28
"May 14, 2015",20150514,27395.92,27286.55
"May 13, 2015",20150513,27473.5,27249.28
"May 12, 2015",20150512,27664.18,27407.18
"May 11, 2015",20150511,27837.04,27718.2
"May 8, 2015",20150508,27557.52,27577.34
"May 7, 2015",20150507,27567.62,27289.97
"May 6, 2015",20150506,27698.1,27640.91
"May 5, 2015",20150505,28295.72,27755.54
"May 4, 2015",20150504,28231.26,28123.82
"Apr 30, 2015",20150430,28289.14,28133.0
"Apr 29, 2015",20150429,28453.1,28400.34
"Apr 28, 2015",20150428,28448.22,28442.75
"Apr 27, 2015",20150427,28245.14,28433.59
"Apr 24, 2015",20150424,27978.39,28060.98
"Apr 23, 2015",20150423,28112.38,27827.7
"Apr 22, 2015",20150422,27821.32,27933.85
"Apr 21, 2015",20150421,27404.15,27850.49
"Apr 20, 2015",20150420,27770.79,27094.93
"Apr 17, 2015",20150417,27808.24,27653.12
"Apr 16, 2015",20150416,27557.29,27739.71
"Apr 15, 2015",20150415,27693.25,27618.82
"Apr 14, 2015",20150414,27688.26,27561.49
"Apr 13, 2015",20150413,27374.33,28016.34
"Apr 10, 2015",20150410,27373.68,27272.39
"Apr 9, 2015",20150409,26913.28,26944.39
"Apr 8, 2015",20150408,25708.24,26236.86
"Apr 2, 2015",20150402,25214.33,25275.64
"Apr 1, 2015",20150401,24955.2,25082.75
"Mar 31, 2015",20150331,25113.2,24900.89
"Mar 30, 2015",20150330,24727.46,24855.12
"Mar 27, 2015",20150327,24541.44,24486.2
"Mar 26, 2015",20150326,24442.51,24497.08
"Mar 25, 2015",20150325,24410.53,24528.23
"Mar 24, 2015",20150324,24484.68,24399.6
"Mar 23, 2015",20150323,24538.34,24494.51
"Mar 20, 2015",20150320,24417.53,24375.24
"Mar 19, 2015",20150319,24325.56,24468.89
"Mar 18, 2015",20150318,23938.63,24120.08
"Mar 17, 2015",20150317,24106.47,23901.49
"Mar 16, 2015",20150316,23771.4,23949.55
"Mar 13, 2015",20150313,23808.97,23823.21
"Mar 12, 2015",20150312,23709.17,23797.96
"Mar 11, 2015",20150311,23807.1,23717.97
"Mar 10, 2015",20150310,24150.68,23896.98
"Mar 9, 2015",20150309,23982.5,24123.05
