range,cname,SID,52KH,jk,volumn,52KL,cagtegory
12.37,军工ETF,SH512660,1.05,0.965,5.72亿,0.953,type
10.45,证券ETF,SH512880,1.13,1.01,4.37亿,0.996,type
25.0,精准医疗,SH501005,1.10,1.04,12.83亿,1.02,type
45.5,金融ETF,SH510230,7.399,5.124,32.03亿,3.225,type
22.5,非银ETF,SH512070,2.90,1.66,11.48亿,1.30,type
39.51,消费ETF,SZ159928,2.02,1.403,12.21亿,1.00,type
59.11,中国互联,SZ164906,1.22,1.036,5.84亿,0.77,type
12.58,红利ETF,SH510880,8.05,2.56,6.28亿,1.77,type
50.31,深红利,SZ159905,1.66,1.176,1.98亿,0.686,type
