code,exchange,cagtegory,Update,name,last_rec,
162411,SZ,SP,1,华宝油气,29,
161226,SZ,SP,2,白银基金,29,
518880,SH,SP,3,黄金ETF,29,
513030,SH,OM,1,德国30,29,
513500,SH,OM,2,标普500,29,
510900,SH,HG,1,H股ETF,29,
159915,SZ,AG,1,创业板,29,
510050,SH,AG,2,50ETF,29,
510300,SH,AG,3,300ETF,29,
510500,SH,AG,4,500ETF,29,
159901,SZ,AG,5,深100ETF,29,
